17/05/25  26.   9. VILLA REYNOLDS AERO       
16/05/25  22.  19. AEROPARQUE AERO           
16/05/25  20.  17. AZUL AERO                 
16/05/25  22.   7. BAHIA BLANCA AERO         
16/05/25  13.   5. BARILOCHE AERO            
16/05/25 -13. -19. BASE BELGRANO II          
16/05/25  -5.  -6. BASE CARLINI (EX JUBANY)  
16/05/25 -11. -12. BASE ESPERANZA            
16/05/25 -16. -18. BASE MARAMBIO             
16/05/25  -0.  -6. BASE ORCADAS              
16/05/25  -2.  -7. BASE SAN MARTIN           
16/05/25  21.  15. BENITO JUAREZ             
16/05/25  23.  15. BERNARDO DE IRIGOYEN AERO 
16/05/25  22.  18. BOLIVAR AERO              
16/05/25  23.  19. BUENOS AIRES OBSERVATORIO 
16/05/25  20.  16. CAMPO DE MAYO AERO        
16/05/25  28.  17. CATAMARCA AERO            
16/05/25  33.  21. CERES AERO                
16/05/25       18. CHAMICAL AERO             
16/05/25  15.   5. CHAPELCO AERO             
16/05/25  26.  18. CHEPES                    
16/05/25  24.  14. CHILECITO AERO            
16/05/25  12.   4. COMODORO RIVADAVIA AERO   
16/05/25  26.  18. CONCORDIA AERO            
16/05/25  27.  18. CORDOBA AERO              
16/05/25  26.  20. CORDOBA OBSERVATORIO      
16/05/25  18.  10. CORONEL SUAREZ AERO       
16/05/25  28.  19. CORRIENTES AERO           
16/05/25  20.  17. DOLORES AERO              
16/05/25  14.   8. EL BOLSON AERO            
16/05/25   7.  -2. EL CALAFATE AERO          
16/05/25  23.  18. EL PALOMAR AERO           
16/05/25       18. ESCUELA DE AVIACION MILITA
16/05/25  13.   4. ESQUEL AERO               
16/05/25  22.  18. EZEIZA AERO               
16/05/25  30.  17. FORMOSA AERO              
16/05/25  21.  15. GENERAL PICO AERO         
16/05/25   9.   0. GOBERNADOR GREGORES AERO  
16/05/25  28.  18. GUALEGUAYCHU AERO         
16/05/25  27.  13. IGUAZU AERO               
16/05/25  27.  17. ITUZAINGO                 
16/05/25  23.   4. JACHAL                    
16/05/25  24.  17. JUJUY AERO                
16/05/25  24.  15. JUJUY U N                 
16/05/25  21.  18. JUNIN AERO                
16/05/25  22.  17. LA PLATA AERO             
16/05/25  22.  -0. LA QUIACA OBSERVATORIO    
16/05/25  27.  16. LA RIOJA AERO             
16/05/25  26.  17. LABOULAYE AERO            
16/05/25  21.  18. LAS FLORES                
16/05/25  31.  20. LAS LOMITAS               
16/05/25  20.   5. MALARGUE AERO             
16/05/25  15.   5. MAQUINCHAO                
16/05/25  21.  16. MAR DEL PLATA AERO        
16/05/25  25.  19. MARCOS JUAREZ AERO        
16/05/25       17. MARIANO MORENO AERO       
16/05/25  25.  12. MENDOZA AERO              
16/05/25       12. MENDOZA OBSERVATORIO      
16/05/25  27.  17. MERCEDES AERO (CTES)      
16/05/25       18. MERLO AERO                
16/05/25  24.  18. METAN                     
16/05/25  26.  16. MONTE CASEROS AERO        
16/05/25  24.  18. MORON AERO                
16/05/25  22.   3. NEUQUEN AERO              
16/05/25  20.  18. NUEVE DE JULIO            
16/05/25  29.  15. OBERA                     
16/05/25  20.  17. OLAVARRIA AERO            
16/05/25  25.  19. ORAN AERO                 
16/05/25  26.  20. PARANA AERO               
16/05/25  15.   6. PASO DE INDIOS            
16/05/25  26.  16. PASO DE LOS LIBRES AERO   
16/05/25  21.  18. PEHUAJO AERO              
16/05/25   7.   0. PERITO MORENO AERO        
16/05/25  20.  10. PIGUE AERO                
16/05/25  26.  20. PILAR OBSERVATORIO        
16/05/25  27.  17. POSADAS AERO              
16/05/25  29.  19. PRESIDENCIA ROQUE SAENZ PE
16/05/25  11.   2. PUERTO DESEADO AERO       
16/05/25  19.   9. PUERTO MADRYN AERO        
16/05/25  21.  18. PUNTA INDIO B.A.          
16/05/25  27.  21. RAFAELA AERO              
16/05/25  27.  19. RECONQUISTA AERO          
16/05/25  29.  18. RESISTENCIA AERO          
16/05/25  25.  16. RIO CUARTO AERO           
16/05/25   7.  -1. RIO GALLEGOS AERO         
16/05/25   6.  -2. RIO GRANDE B.A.           
16/05/25  32.  21. RIVADAVIA                 
16/05/25  24.  21. ROSARIO AERO              
16/05/25  23.  15. SALTA AERO                
16/05/25  22.   3. SAN ANTONIO OESTE AERO    
16/05/25  22.  18. SAN FERNANDO AERO         
16/05/25  26.   8. SAN JUAN AERO             
16/05/25  10.   1. SAN JULIAN AERO           
16/05/25  24.  17. SAN LUIS AERO             
16/05/25  25.  11. SAN MARTIN (MZA)          
16/05/25  26.   9. SAN RAFAEL AERO           
16/05/25   9.   0. SANTA CRUZ AERO           
16/05/25  18.  10. SANTA ROSA AERO           
16/05/25  25.  16. SANTA ROSA DE CONLARA AERO
16/05/25  30.  22. SANTIAGO DEL ESTERO AERO  
16/05/25  27.  21. SAUCE VIEJO AERO          
16/05/25  27.  21. SUNCHALES AERO            
16/05/25  21.  15. TANDIL AERO               
16/05/25  28.  18. TARTAGAL AERO             
16/05/25  27.  19. TERMAS DE RIO HONDO AERO  
16/05/25  24.  11. TINOGASTA                 
16/05/25  21.   9. TRELEW AERO               
16/05/25  20.  17. TRENQUE LAUQUEN           
16/05/25  23.  17. TRES ARROYOS              
16/05/25  27.  17. TUCUMAN AERO              
16/05/25   5.   0. USHUAIA AERO              
16/05/25  22.  -2. USPALLATA                 
16/05/25  25.  19. VENADO TUERTO AERO        
16/05/25  21.   9. VICTORICA                 
16/05/25  21.   3. VIEDMA AERO               
16/05/25  27.  20. VILLA DE MARIA DEL RIO SEC
16/05/25  26.  19. VILLA DOLORES AERO        
16/05/25  20.  17. VILLA GESELL AERO         
16/05/25  24.  15. VILLA REYNOLDS AERO       
15/05/25  22.  17. AEROPARQUE AERO           
15/05/25  18.  12. AZUL AERO                 
15/05/25  23.   9. BAHIA BLANCA AERO         
15/05/25  12.   7. BARILOCHE AERO            
15/05/25 -15. -19. BASE BELGRANO II          
15/05/25  -2.  -7. BASE CARLINI (EX JUBANY)  
15/05/25 -11. -13. BASE ESPERANZA            
15/05/25 -16. -18. BASE MARAMBIO             
15/05/25   2.  -1. BASE ORCADAS              
15/05/25  -0.  -6. BASE SAN MARTIN           
15/05/25  20.  11. BENITO JUAREZ             
15/05/25  22.  15. BERNARDO DE IRIGOYEN AERO 
15/05/25  19.  15. BOLIVAR AERO              
15/05/25  23.  19. BUENOS AIRES OBSERVATORIO 
15/05/25  23.  15. CAMPO DE MAYO AERO        
15/05/25  27.  14. CATAMARCA AERO            
15/05/25  30.  21. CERES AERO                
15/05/25       13. CHAMICAL AERO             
15/05/25  14.   5. CHAPELCO AERO             
15/05/25  24.   9. CHEPES                    
15/05/25  23.  12. CHILECITO AERO            
15/05/25  17.   7. COMODORO RIVADAVIA AERO   
15/05/25  28.  20. CONCORDIA AERO            
15/05/25  28.  18. CORDOBA AERO              
15/05/25  28.  18. CORDOBA OBSERVATORIO      
15/05/25  19.  12. CORONEL SUAREZ AERO       
15/05/25  28.  19. CORRIENTES AERO           
15/05/25  20.  15. DOLORES AERO              
15/05/25  17.  11. EL BOLSON AERO            
15/05/25  10.  -0. EL CALAFATE AERO          
15/05/25  24.  16. EL PALOMAR AERO           
15/05/25       18. ESCUELA DE AVIACION MILITA
15/05/25  15.   7. ESQUEL AERO               
15/05/25  24.  17. EZEIZA AERO               
15/05/25  30.  18. FORMOSA AERO              
15/05/25  22.  16. GENERAL PICO AERO         
15/05/25  11.   4. GOBERNADOR GREGORES AERO  
15/05/25  29.  18. GUALEGUAYCHU AERO         
15/05/25  28.  17. IGUAZU AERO               
15/05/25  29.  18. ITUZAINGO                 
15/05/25  20.   4. JACHAL                    
15/05/25  25.  17. JUJUY AERO                
15/05/25  25.  14. JUJUY U N                 
15/05/25  21.  17. JUNIN AERO                
15/05/25  23.  14. LA PLATA AERO             
15/05/25  22.  -0. LA QUIACA OBSERVATORIO    
15/05/25  26.  12. LA RIOJA AERO             
15/05/25  26.  18. LABOULAYE AERO            
15/05/25  21.  16. LAS FLORES                
15/05/25  31.  21. LAS LOMITAS               
15/05/25  22.   6. MALARGUE AERO             
15/05/25  12.  -1. MAQUINCHAO                
15/05/25  23.   8. MAR DEL PLATA AERO        
15/05/25  26.  20. MARCOS JUAREZ AERO        
15/05/25       17. MARIANO MORENO AERO       
15/05/25  25.   9. MENDOZA AERO              
15/05/25       10. MENDOZA OBSERVATORIO      
15/05/25  28.  18. MERCEDES AERO (CTES)      
15/05/25       16. MERLO AERO                
15/05/25  27.  17. METAN                     
15/05/25  27.  17. MONTE CASEROS AERO        
15/05/25  24.  17. MORON AERO                
15/05/25  21.   7. NEUQUEN AERO              
15/05/25  20.  17. NUEVE DE JULIO            
15/05/25  29.  18. OBERA                     
15/05/25  18.  14. OLAVARRIA AERO            
15/05/25  29.  20. ORAN AERO                 
15/05/25  27.  20. PARANA AERO               
15/05/25  17.   9. PASO DE INDIOS            
15/05/25  28.  18. PASO DE LOS LIBRES AERO   
15/05/25  21.  16. PEHUAJO AERO              
15/05/25  10.   6. PERITO MORENO AERO        
15/05/25  18.  12. PIGUE AERO                
15/05/25  28.  18. PILAR OBSERVATORIO        
15/05/25  28.  19. POSADAS AERO              
15/05/25  30.  20. PRESIDENCIA ROQUE SAENZ PE
15/05/25       11. PUERTO DESEADO AERO       
15/05/25  21.   7. PUERTO MADRYN AERO        
15/05/25  24.  16. PUNTA INDIO B.A.          
15/05/25  28.  20. RAFAELA AERO              
15/05/25  28.  20. RECONQUISTA AERO          
15/05/25  29.  19. RESISTENCIA AERO          
15/05/25  26.  17. RIO CUARTO AERO           
15/05/25  10.   3. RIO GALLEGOS AERO         
15/05/25   8.   3. RIO GRANDE B.A.           
15/05/25  31.  21. RIVADAVIA                 
15/05/25  26.  20. ROSARIO AERO              
15/05/25  24.  14. SALTA AERO                
15/05/25  22.   4. SAN ANTONIO OESTE AERO    
15/05/25  24.  18. SAN FERNANDO AERO         
15/05/25  24.  10. SAN JUAN AERO             
15/05/25  13.   5. SAN JULIAN AERO           
15/05/25  25.  15. SAN LUIS AERO             
15/05/25  25.  10. SAN MARTIN (MZA)          
15/05/25  25.  10. SAN RAFAEL AERO           
15/05/25  12.   6. SANTA CRUZ AERO           
15/05/25  22.  13. SANTA ROSA AERO           
15/05/25  24.  15. SANTA ROSA DE CONLARA AERO
15/05/25  31.  19. SANTIAGO DEL ESTERO AERO  
15/05/25  28.  20. SAUCE VIEJO AERO          
15/05/25  29.  21. SUNCHALES AERO            
15/05/25  18.  10. TANDIL AERO               
15/05/25  29.  15. TARTAGAL AERO             
15/05/25  24.  16. TERMAS DE RIO HONDO AERO  
15/05/25  24.   9. TINOGASTA                 
15/05/25  17.   8. TRELEW AERO               
15/05/25  22.  16. TRENQUE LAUQUEN           
15/05/25  22.  10. TRES ARROYOS              
15/05/25  25.  15. TUCUMAN AERO              
15/05/25   7.   3. USHUAIA AERO              
15/05/25  22.   1. USPALLATA                 
15/05/25  22.  18. VENADO TUERTO AERO        
15/05/25  24.  11. VICTORICA                 
15/05/25  22.   8. VIEDMA AERO               
15/05/25  26.  18. VILLA DE MARIA DEL RIO SEC
15/05/25  25.  14. VILLA DOLORES AERO        
15/05/25  21.  12. VILLA GESELL AERO         
15/05/25  26.  13. VILLA REYNOLDS AERO       
14/05/25  22.  16. AEROPARQUE AERO           
14/05/25  23.   7. AZUL AERO                 
14/05/25  22.  10. BAHIA BLANCA AERO         
14/05/25  12.   6. BARILOCHE AERO            
14/05/25 -13. -17. BASE BELGRANO II          
14/05/25   4.  -2. BASE CARLINI (EX JUBANY)  
14/05/25   0. -13. BASE ESPERANZA            
14/05/25 -16. -19. BASE MARAMBIO             
14/05/25   3.   0. BASE ORCADAS              
14/05/25   0.  -2. BASE SAN MARTIN           
14/05/25  21.  12. BENITO JUAREZ             
14/05/25  24.  15. BERNARDO DE IRIGOYEN AERO 
14/05/25  24.  11. BOLIVAR AERO              
14/05/25  26.  17. BUENOS AIRES OBSERVATORIO 
14/05/25  25.  11. CAMPO DE MAYO AERO        
14/05/25  25.  12. CATAMARCA AERO            
14/05/25  30.  15. CERES AERO                
14/05/25       14. CHAMICAL AERO             
14/05/25  14.   6. CHAPELCO AERO             
14/05/25  23.  13. CHEPES                    
14/05/25  23.  11. CHILECITO AERO            
14/05/25  16.   9. COMODORO RIVADAVIA AERO   
14/05/25  27.  15. CONCORDIA AERO            
14/05/25  23.  15. CORDOBA AERO              
14/05/25  23.  17. CORDOBA OBSERVATORIO      
14/05/25  23.   6. CORONEL SUAREZ AERO       
14/05/25  29.  19. CORRIENTES AERO           
14/05/25  22.  11. DOLORES AERO              
14/05/25  17.   8. EL BOLSON AERO            
14/05/25  10.   1. EL CALAFATE AERO          
14/05/25  25.  14. EL PALOMAR AERO           
14/05/25       15. ESCUELA DE AVIACION MILITA
14/05/25  14.   6. ESQUEL AERO               
14/05/25  26.  12. EZEIZA AERO               
14/05/25  31.  19. FORMOSA AERO              
14/05/25  25.   8. GENERAL PICO AERO         
14/05/25  11.   1. GOBERNADOR GREGORES AERO  
14/05/25  26.  12. GUALEGUAYCHU AERO         
14/05/25  27.  17. IGUAZU AERO               
14/05/25  29.  17. ITUZAINGO                 
14/05/25  18.   5. JACHAL                    
14/05/25  24.  16. JUJUY AERO                
14/05/25  23.  14. JUJUY U N                 
14/05/25  24.  13. JUNIN AERO                
14/05/25  24.  11. LA PLATA AERO             
14/05/25  22.  -0. LA QUIACA OBSERVATORIO    
14/05/25  26.  14. LA RIOJA AERO             
14/05/25  23.  10. LABOULAYE AERO            
14/05/25  21.  14. LAS FLORES                
14/05/25  31.  18. LAS LOMITAS               
14/05/25  20.   5. MALARGUE AERO             
14/05/25  14.   4. MAQUINCHAO                
14/05/25  23.  12. MAR DEL PLATA AERO        
14/05/25  26.  13. MARCOS JUAREZ AERO        
14/05/25       13. MARIANO MORENO AERO       
14/05/25  23.  11. MENDOZA AERO              
14/05/25       12. MENDOZA OBSERVATORIO      
14/05/25  29.  18. MERCEDES AERO (CTES)      
14/05/25       13. MERLO AERO                
14/05/25  23.  13. METAN                     
14/05/25  27.  16. MONTE CASEROS AERO        
14/05/25  26.  14. MORON AERO                
14/05/25  21.   4. NEUQUEN AERO              
14/05/25  21.  13. NUEVE DE JULIO            
14/05/25  28.  18. OBERA                     
14/05/25  23.  10. OLAVARRIA AERO            
14/05/25  25.  21. ORAN AERO                 
14/05/25  26.  15. PARANA AERO               
14/05/25  16.   8. PASO DE INDIOS            
14/05/25  27.  16. PASO DE LOS LIBRES AERO   
14/05/25  24.  12. PEHUAJO AERO              
14/05/25  11.   4. PERITO MORENO AERO        
14/05/25  23.   8. PIGUE AERO                
14/05/25  23.  15. PILAR OBSERVATORIO        
14/05/25  29.  19. POSADAS AERO              
14/05/25  31.  18. PRESIDENCIA ROQUE SAENZ PE
14/05/25  13.   6. PUERTO DESEADO AERO       
14/05/25  18.   8. PUERTO MADRYN AERO        
14/05/25  25.  14. PUNTA INDIO B.A.          
14/05/25  27.      RAFAELA AERO              
14/05/25  29.  18. RECONQUISTA AERO          
14/05/25  30.  18. RESISTENCIA AERO          
14/05/25  21.  14. RIO CUARTO AERO           
14/05/25  10.   2. RIO GALLEGOS AERO         
14/05/25   7.   2. RIO GRANDE B.A.           
14/05/25  31.  19. RIVADAVIA                 
14/05/25  25.  15. ROSARIO AERO              
14/05/25  22.  13. SALTA AERO                
14/05/25  21.   7. SAN ANTONIO OESTE AERO    
14/05/25  25.  13. SAN FERNANDO AERO         
14/05/25  23.  12. SAN JUAN AERO             
14/05/25  12.   2. SAN JULIAN AERO           
14/05/25  24.  13. SAN LUIS AERO             
14/05/25  24.  11. SAN MARTIN (MZA)          
14/05/25  23.   9. SAN RAFAEL AERO           
14/05/25  11.   3. SANTA CRUZ AERO           
14/05/25  22.   7. SANTA ROSA AERO           
14/05/25  24.  12. SANTA ROSA DE CONLARA AERO
14/05/25  25.  14. SANTIAGO DEL ESTERO AERO  
14/05/25  28.  16. SAUCE VIEJO AERO          
14/05/25  28.  14. SUNCHALES AERO            
14/05/25  23.   7. TANDIL AERO               
14/05/25  27.  14. TARTAGAL AERO             
14/05/25  24.  15. TERMAS DE RIO HONDO AERO  
14/05/25  23.   8. TINOGASTA                 
14/05/25  19.   4. TRELEW AERO               
14/05/25  25.  12. TRENQUE LAUQUEN           
14/05/25  23.  11. TRES ARROYOS              
14/05/25  25.  13. TUCUMAN AERO              
14/05/25   8.   3. USHUAIA AERO              
14/05/25  20.   1. USPALLATA                 
14/05/25  24.  12. VENADO TUERTO AERO        
14/05/25  23.   7. VICTORICA                 
14/05/25  20.  12. VIEDMA AERO               
14/05/25  23.  11. VILLA DE MARIA DEL RIO SEC
14/05/25  26.  14. VILLA DOLORES AERO        
14/05/25  21.  11. VILLA GESELL AERO         
14/05/25  23.   7. VILLA REYNOLDS AERO       
13/05/25  20.  15. AEROPARQUE AERO           
13/05/25  19.   3. AZUL AERO                 
13/05/25  23.  14. BAHIA BLANCA AERO         
13/05/25  11.   2. BARILOCHE AERO            
13/05/25 -12. -17. BASE BELGRANO II          
13/05/25   3.   1. BASE CARLINI (EX JUBANY)  
13/05/25   2. -10. BASE ESPERANZA            
13/05/25 -12. -18. BASE MARAMBIO             
13/05/25   5.  -0. BASE ORCADAS              
13/05/25   0. -10. BASE SAN MARTIN           
13/05/25  19.   6. BENITO JUAREZ             
13/05/25  23.  13. BERNARDO DE IRIGOYEN AERO 
13/05/25  21.   7. BOLIVAR AERO              
13/05/25  22.  14. BUENOS AIRES OBSERVATORIO 
13/05/25  22.   7. CAMPO DE MAYO AERO        
13/05/25  29.  10. CATAMARCA AERO            
13/05/25  27.   8. CERES AERO                
13/05/25       10. CHAMICAL AERO             
13/05/25  13.   1. CHAPELCO AERO             
13/05/25  25.  12. CHEPES                    
13/05/25  24.   9. CHILECITO AERO            
13/05/25  18.  12. COMODORO RIVADAVIA AERO   
13/05/25  25.  12. CONCORDIA AERO            
13/05/25  25.   9. CORDOBA AERO              
13/05/25  27.  12. CORDOBA OBSERVATORIO      
13/05/25  22.   6. CORONEL SUAREZ AERO       
13/05/25  28.  15. CORRIENTES AERO           
13/05/25  21.  12. DOLORES AERO              
13/05/25  13.   7. EL BOLSON AERO            
13/05/25  13.  -1. EL CALAFATE AERO          
13/05/25  22.   7. EL PALOMAR AERO           
13/05/25       10. ESCUELA DE AVIACION MILITA
13/05/25  13.   6. ESQUEL AERO               
13/05/25  23.  11. EZEIZA AERO               
13/05/25  29.  15. FORMOSA AERO              
13/05/25  24.  10. GENERAL PICO AERO         
13/05/25  13.  -0. GOBERNADOR GREGORES AERO  
13/05/25  25.  10. GUALEGUAYCHU AERO         
13/05/25  27.  14. IGUAZU AERO               
13/05/25  27.  14. ITUZAINGO                 
13/05/25  24.   3. JACHAL                    
13/05/25  24.  16. JUJUY AERO                
13/05/25  23.  12. JUJUY U N                 
13/05/25  22.   7. JUNIN AERO                
13/05/25  21.   9. LA PLATA AERO             
13/05/25  22.   0. LA QUIACA OBSERVATORIO    
13/05/25  26.  10. LA RIOJA AERO             
13/05/25  24.   9. LABOULAYE AERO            
13/05/25  22.   9. LAS FLORES                
13/05/25  28.  15. LAS LOMITAS               
13/05/25  22.   4. MALARGUE AERO             
13/05/25  15.  -3. MAQUINCHAO                
13/05/25  21.  10. MAR DEL PLATA AERO        
13/05/25  25.   9. MARCOS JUAREZ AERO        
13/05/25        8. MARIANO MORENO AERO       
13/05/25  22.   9. MENDOZA AERO              
13/05/25        9. MENDOZA OBSERVATORIO      
13/05/25  27.  13. MERCEDES AERO (CTES)      
13/05/25       10. MERLO AERO                
13/05/25  25.  12. METAN                     
13/05/25  25.  12. MONTE CASEROS AERO        
13/05/25  22.   9. MORON AERO                
13/05/25  22.   5. NEUQUEN AERO              
13/05/25  22.   8. NUEVE DE JULIO            
13/05/25  26.  14. OBERA                     
13/05/25  20.   5. OLAVARRIA AERO            
13/05/25  26.  15. ORAN AERO                 
13/05/25  25.   9. PARANA AERO               
13/05/25  17.   8. PASO DE INDIOS            
13/05/25  26.  13. PASO DE LOS LIBRES AERO   
13/05/25  22.  10. PEHUAJO AERO              
13/05/25  12.  -1. PERITO MORENO AERO        
13/05/25  20.   8. PIGUE AERO                
13/05/25  25.   9. PILAR OBSERVATORIO        
13/05/25  27.  15. POSADAS AERO              
13/05/25  28.  10. PRESIDENCIA ROQUE SAENZ PE
13/05/25  15.   7. PUERTO DESEADO AERO       
13/05/25  20.   8. PUERTO MADRYN AERO        
13/05/25  20.  13. PUNTA INDIO B.A.          
13/05/25  26.   9. RAFAELA AERO              
13/05/25  27.  12. RECONQUISTA AERO          
13/05/25  28.  14. RESISTENCIA AERO          
13/05/25  24.  10. RIO CUARTO AERO           
13/05/25  12.   1. RIO GALLEGOS AERO         
13/05/25  10.  -1. RIO GRANDE B.A.           
13/05/25  30.  13. RIVADAVIA                 
13/05/25  24.  10. ROSARIO AERO              
13/05/25  24.  11. SALTA AERO                
13/05/25  23.   4. SAN ANTONIO OESTE AERO    
13/05/25  22.  11. SAN FERNANDO AERO         
13/05/25  25.   8. SAN JUAN AERO             
13/05/25  13.   4. SAN JULIAN AERO           
13/05/25  24.  11. SAN LUIS AERO             
13/05/25  23.   9. SAN MARTIN (MZA)          
13/05/25  25.  10. SAN RAFAEL AERO           
13/05/25  13.   2. SANTA CRUZ AERO           
13/05/25  23.   9. SANTA ROSA AERO           
13/05/25  24.   5. SANTA ROSA DE CONLARA AERO
13/05/25  29.  11. SANTIAGO DEL ESTERO AERO  
13/05/25  26.  10. SAUCE VIEJO AERO          
13/05/25  26.   9. SUNCHALES AERO            
13/05/25  19.   4. TANDIL AERO               
13/05/25  27.  13. TARTAGAL AERO             
